Category,Description,Done,Status,Function,,,Notes
Academic Statuses,,,Deprecated,,,https://api.mendeley.com/apidocs/docs#!/academic_statuses/get,
Annotations,Creating an annotaton,,,POST https://api.mendeley.com/annotations,,https://api.mendeley.com/apidocs/docs#!/annotations/createAnnotation,There is no documentation on this function - need to look at Android example
,Retrieving all annotations for a doc,,,GET https://api.mendeley.com/annotations,http://dev.mendeley.com/methods/?shell#retrieving-annotations,https://api.mendeley.com/apidocs/docs#!/annotations/getAnnotations,
,Deleting an Annotation,,,DELETE https://api.mendeley.com/annotations/{id},http://dev.mendeley.com/methods/?shell#deleting-an-annotation,https://api.mendeley.com/apidocs/docs#!/annotations/deleteAnnotation,
,Updating an Annotation,,,PATCH https://api.mendeley.com/annotations/{id},,https://api.mendeley.com/apidocs/docs#!/annotations/updateAnnotation,
,retrieve a specific annotation,,,,,https://api.mendeley.com/apidocs/docs#!/annotations/getAnnotation,
Catalog,Get catalog documents,,,,,https://api.mendeley.com/apidocs/docs#!/catalog/getCatalogueDocumentByFilter,
,Get a catalog document,,,,,https://api.mendeley.com/apidocs/docs#!/catalog/getCatalogueDocument,
Datasets,,,,,,,
Disciplines,,,,,,https://api.mendeley.com/apidocs/docs#!/disciplines/get,
Document Types,Get available document types,,,,,https://api.mendeley.com/apidocs/docs#!/document_types/getAllDocumentTypes,
Document-from-file,Create a document from an uploaded file,,,,,https://api.mendeley.com/apidocs/docs#!/document-from-file/createDocumentFromFileUpload,
Documents,Create a document,,,POST /documents,,https://api.mendeley.com/apidocs/docs#!/documents/createDocument,
,Get documents,,,GET /documents,http://dev.mendeley.com/methods/#retrieving-documents,,
,Get a document,,,GET /documents/{id},,,
,Update a document,,,PATCH /documents/{id},http://dev.mendeley.com/methods/#updating-documents,,
,Delete a document,,,DELETE /documents/{id},,,
,Move a document to the trash,,,POST /documents/{id}/trash,,,
File Content,TODO: finish documentation,,,,,,
File Contents,,,,,,,
Files,Upload a file to a user document,,,POST /files,,https://api.mendeley.com/apidocs/docs#!/files/uploadOrLinkFile,
,Get files,,,GET /files,,https://api.mendeley.com/apidocs/docs#!/files/getFiles,
,Delete a file,,,DELETE /files/{file_id},,https://api.mendeley.com/apidocs/docs#!/files/deleteFile,
,Download a file,,,GET /files/{file_id},,https://api.mendeley.com/apidocs/docs#!/files/downloadFile,
Folders,Get folders for the logged-in user or a group,,,GET /folders,,https://api.mendeley.com/apidocs/docs#!/folders/getFolders,
,Create a folder,,,POST /folders,,https://api.mendeley.com/apidocs/docs#!/folders/createFolder,
,Get a folder,,,GET /folders/{id},,https://api.mendeley.com/apidocs/docs#!/folders/getFolder,
,Delete a folder,,,DELETE /folders/{id},,https://api.mendeley.com/apidocs/docs#!/folders/deleteFolder,
,"Update a folder's name, or move it to a new parent",,,PATCH /folders/{id},,https://api.mendeley.com/apidocs/docs#!/folders/updateFolder,
,Get all document ids from a folder,,,GET /folders/{id}/documents,,https://api.mendeley.com/apidocs/docs#!/folders/getDocumentsForFolder,
,Add a document to a folder,,,POST /folders/{id}/documents,,https://api.mendeley.com/apidocs/docs#!/folders/addDocumentToFolder,
,Delete a document from a folder,,,DELETE /folders/{id}/documents/{document_id},,https://api.mendeley.com/apidocs/docs#!/folders/deleteDocumentFromFolder,
Followers,,,,Get /followers,,,
,,,,POST /followers,,,
,,,,PATCH /followers/{id},,,
,,,,DELETE /followers/{id},,,
Groups,,,,GET /groups,,,
,,,,GET /groups/{id},,,
,,,,GET /groups/{id}/members,,,
Identifier Types,,,,GET /identifier_types,,https://api.mendeley.com/apidocs/docs#!/identifier_types/getAllDocumentTypes,
Institution Trees,,,,GET /institution_trees,,https://api.mendeley.com/apidocs/docs#!/institution_trees/getInstitutionTrees,
,,,,GET /institution_trees/{id},,https://api.mendeley.com/apidocs/docs#!/institution_trees/getInstitutionTree,
Institution,,,,GET /institutions,,https://api.mendeley.com/apidocs/docs#!/institutions/getInstitutions,
,,,,GET /institutions/{id},,https://api.mendeley.com/apidocs/docs#!/institutions/getInstitution,
Locations,,,,GET /locations,,https://api.mendeley.com/apidocs/docs#!/locations/getLocations,
,,,,GET /locations/{id},,https://api.mendeley.com/apidocs/docs#!/locations/getLocation,
Documents Metadata Lookup,,,,GET /metadata,,https://api.mendeley.com/apidocs/docs#!/metadata/getDocumentIdByMetadata,
Profiles,,,,Get /profiles,,,
,,,,GET /profiles/{id},,,
,,,,PATCH /profiles/me,,,
,,,,GET /profiles/me,,,
